PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,title
182, Not Survived,2,male,,0,0,15.05,Cherbourg,Mr
183, Not Survived,3,male,9.0,4,2,31.3875,Southampton,Master
184,Survived,2,male,1.0,2,1,39.0,Southampton,Master
185,Survived,3,female,4.0,0,2,22.025,Southampton,Miss
186, Not Survived,1,male,,0,0,50.0,Southampton,Mr
187,Survived,3,female,,1,0,15.5,Queenstown,Mrs
188,Survived,1,male,45.0,0,0,26.55,Southampton,Mr
189, Not Survived,3,male,40.0,1,1,15.5,Queenstown,Mr
190, Not Survived,3,male,36.0,0,0,7.8958,Southampton,Mr
191,Survived,2,female,32.0,0,0,13.0,Southampton,Mrs
192, Not Survived,2,male,19.0,0,0,13.0,Southampton,Mr
193,Survived,3,female,19.0,1,0,7.8542,Southampton,Miss
194,Survived,2,male,3.0,1,1,26.0,Southampton,Master
195,Survived,1,female,44.0,0,0,27.7208,Cherbourg,Mrs
196,Survived,1,female,58.0,0,0,146.5208,Cherbourg,Miss
197, Not Survived,3,male,,0,0,7.75,Queenstown,Mr
198, Not Survived,3,male,42.0,0,1,8.4042,Southampton,Mr
199,Survived,3,female,,0,0,7.75,Queenstown,Miss
200, Not Survived,2,female,24.0,0,0,13.0,Southampton,Miss
201, Not Survived,3,male,28.0,0,0,9.5,Southampton,Mr
202, Not Survived,3,male,,8,2,69.55,Southampton,Mr
203, Not Survived,3,male,34.0,0,0,6.4958,Southampton,Mr
204, Not Survived,3,male,45.5,0,0,7.225,Cherbourg,Mr
205,Survived,3,male,18.0,0,0,8.05,Southampton,Mr
206, Not Survived,3,female,2.0,0,1,10.4625,Southampton,Miss
207, Not Survived,3,male,32.0,1,0,15.85,Southampton,Mr
208,Survived,3,male,26.0,0,0,18.7875,Cherbourg,Mr
209,Survived,3,female,16.0,0,0,7.75,Queenstown,Miss
210,Survived,1,male,40.0,0,0,31.0,Cherbourg,Mr
211, Not Survived,3,male,24.0,0,0,7.05,Southampton,Mr
212,Survived,2,female,35.0,0,0,21.0,Southampton,Miss
213, Not Survived,3,male,22.0,0,0,7.25,Southampton,Mr
214, Not Survived,2,male,30.0,0,0,13.0,Southampton,Mr
215, Not Survived,3,male,,1,0,7.75,Queenstown,Mr
216,Survived,1,female,31.0,1,0,113.275,Cherbourg,Miss
217,Survived,3,female,27.0,0,0,7.925,Southampton,Miss
218, Not Survived,2,male,42.0,1,0,27.0,Southampton,Mr
219,Survived,1,female,32.0,0,0,76.2917,Cherbourg,Miss
220, Not Survived,2,male,30.0,0,0,10.5,Southampton,Mr
221,Survived,3,male,16.0,0,0,8.05,Southampton,Mr
222, Not Survived,2,male,27.0,0,0,13.0,Southampton,Mr
223, Not Survived,3,male,51.0,0,0,8.05,Southampton,Mr
224, Not Survived,3,male,,0,0,7.8958,Southampton,Mr
225,Survived,1,male,38.0,1,0,90.0,Southampton,Mr
226, Not Survived,3,male,22.0,0,0,9.35,Southampton,Mr
227,Survived,2,male,19.0,0,0,10.5,Southampton,Mr
228, Not Survived,3,male,20.5,0,0,7.25,Southampton,Mr
229, Not Survived,2,male,18.0,0,0,13.0,Southampton,Mr
230, Not Survived,3,female,,3,1,25.4667,Southampton,Miss
231,Survived,1,female,35.0,1,0,83.475,Southampton,Mrs
232, Not Survived,3,male,29.0,0,0,7.775,Southampton,Mr
233, Not Survived,2,male,59.0,0,0,13.5,Southampton,Mr
234,Survived,3,female,5.0,4,2,31.3875,Southampton,Miss
235, Not Survived,2,male,24.0,0,0,10.5,Southampton,Mr
236, Not Survived,3,female,,0,0,7.55,Southampton,Miss
237, Not Survived,2,male,44.0,1,0,26.0,Southampton,Mr
238,Survived,2,female,8.0,0,2,26.25,Southampton,Miss
239, Not Survived,2,male,19.0,0,0,10.5,Southampton,Mr
240, Not Survived,2,male,33.0,0,0,12.275,Southampton,Mr
241, Not Survived,3,female,,1,0,14.4542,Cherbourg,Miss
242,Survived,3,female,,1,0,15.5,Queenstown,Miss
243, Not Survived,2,male,29.0,0,0,10.5,Southampton,Mr
244, Not Survived,3,male,22.0,0,0,7.125,Southampton,Mr
245, Not Survived,3,male,30.0,0,0,7.225,Cherbourg,Mr
246, Not Survived,1,male,44.0,2,0,90.0,Queenstown,Dr
247, Not Survived,3,female,25.0,0,0,7.775,Southampton,Miss
248,Survived,2,female,24.0,0,2,14.5,Southampton,Mrs
249,Survived,1,male,37.0,1,1,52.5542,Southampton,Mr
250, Not Survived,2,male,54.0,1,0,26.0,Southampton,Reverend
251, Not Survived,3,male,,0,0,7.25,Southampton,Mr
252, Not Survived,3,female,29.0,1,1,10.4625,Southampton,Mrs
253, Not Survived,1,male,62.0,0,0,26.55,Southampton,Mr
254, Not Survived,3,male,30.0,1,0,16.1,Southampton,Mr
255, Not Survived,3,female,41.0,0,2,20.2125,Southampton,Mrs
256,Survived,3,female,29.0,0,2,15.2458,Cherbourg,Mrs
257,Survived,1,female,,0,0,79.2,Cherbourg,Mrs
258,Survived,1,female,30.0,0,0,86.5,Southampton,Miss
259,Survived,1,female,35.0,0,0,512.3292,Cherbourg,Miss
260,Survived,2,female,50.0,0,1,26.0,Southampton,Mrs
261, Not Survived,3,male,,0,0,7.75,Queenstown,Mr
262,Survived,3,male,3.0,4,2,31.3875,Southampton,Master
263, Not Survived,1,male,52.0,1,1,79.65,Southampton,Mr
264, Not Survived,1,male,40.0,0,0,0.0,Southampton,Mr
265, Not Survived,3,female,,0,0,7.75,Queenstown,Miss
266, Not Survived,2,male,36.0,0,0,10.5,Southampton,Mr
267, Not Survived,3,male,16.0,4,1,39.6875,Southampton,Mr
268,Survived,3,male,25.0,1,0,7.775,Southampton,Mr
269,Survived,1,female,58.0,0,1,153.4625,Southampton,Mrs
270,Survived,1,female,35.0,0,0,135.6333,Southampton,Miss
271, Not Survived,1,male,,0,0,31.0,Southampton,Mr
272,Survived,3,male,25.0,0,0,0.0,Southampton,Mr
273,Survived,2,female,41.0,0,1,19.5,Southampton,Mrs
274, Not Survived,1,male,37.0,0,1,29.7,Cherbourg,Mr
275,Survived,3,female,,0,0,7.75,Queenstown,Miss
276,Survived,1,female,63.0,1,0,77.9583,Southampton,Miss
277, Not Survived,3,female,45.0,0,0,7.75,Southampton,Miss
278, Not Survived,2,male,,0,0,0.0,Southampton,Mr
279, Not Survived,3,male,7.0,4,1,29.125,Queenstown,Master
280,Survived,3,female,35.0,1,1,20.25,Southampton,Mrs
281, Not Survived,3,male,65.0,0,0,7.75,Queenstown,Mr
282, Not Survived,3,male,28.0,0,0,7.8542,Southampton,Mr
283, Not Survived,3,male,16.0,0,0,9.5,Southampton,Mr
284,Survived,3,male,19.0,0,0,8.05,Southampton,Mr
285, Not Survived,1,male,,0,0,26.0,Southampton,Mr
286, Not Survived,3,male,33.0,0,0,8.6625,Cherbourg,Mr
287,Survived,3,male,30.0,0,0,9.5,Southampton,Mr
288, Not Survived,3,male,22.0,0,0,7.8958,Southampton,Mr
289,Survived,2,male,42.0,0,0,13.0,Southampton,Mr
290,Survived,3,female,22.0,0,0,7.75,Queenstown,Miss
291,Survived,1,female,26.0,0,0,78.85,Southampton,Miss
292,Survived,1,female,19.0,1,0,91.0792,Cherbourg,Mrs
293, Not Survived,2,male,36.0,0,0,12.875,Cherbourg,Mr
294, Not Survived,3,female,24.0,0,0,8.85,Southampton,Miss
295, Not Survived,3,male,24.0,0,0,7.8958,Southampton,Mr
296, Not Survived,1,male,,0,0,27.7208,Cherbourg,Mr
297, Not Survived,3,male,23.5,0,0,7.2292,Cherbourg,Mr
298, Not Survived,1,female,2.0,1,2,151.55,Southampton,Miss
299,Survived,1,male,,0,0,30.5,Southampton,Mr
300,Survived,1,female,50.0,0,1,247.5208,Cherbourg,Mrs
301,Survived,3,female,,0,0,7.75,Queenstown,Miss
302,Survived,3,male,,2,0,23.25,Queenstown,Mr
303, Not Survived,3,male,19.0,0,0,0.0,Southampton,Mr
304,Survived,2,female,,0,0,12.35,Queenstown,Miss
305, Not Survived,3,male,,0,0,8.05,Southampton,Mr
306,Survived,1,male,0.92,1,2,151.55,Southampton,Master
307,Survived,1,female,,0,0,110.8833,Cherbourg,Miss
308,Survived,1,female,17.0,1,0,108.9,Cherbourg,Mrs
309, Not Survived,2,male,30.0,1,0,24.0,Cherbourg,Mr
310,Survived,1,female,30.0,0,0,56.9292,Cherbourg,Miss
311,Survived,1,female,24.0,0,0,83.1583,Cherbourg,Miss
312,Survived,1,female,18.0,2,2,262.375,Cherbourg,Miss
313, Not Survived,2,female,26.0,1,1,26.0,Southampton,Mrs
314, Not Survived,3,male,28.0,0,0,7.8958,Southampton,Mr
315, Not Survived,2,male,43.0,1,1,26.25,Southampton,Mr
316,Survived,3,female,26.0,0,0,7.8542,Southampton,Miss
317,Survived,2,female,24.0,1,0,26.0,Southampton,Mrs
318, Not Survived,2,male,54.0,0,0,14.0,Southampton,Dr
319,Survived,1,female,31.0,0,2,164.8667,Southampton,Miss
320,Survived,1,female,40.0,1,1,134.5,Cherbourg,Mrs
321, Not Survived,3,male,22.0,0,0,7.25,Southampton,Mr
322, Not Survived,3,male,27.0,0,0,7.8958,Southampton,Mr
323,Survived,2,female,30.0,0,0,12.35,Queenstown,Miss
324,Survived,2,female,22.0,1,1,29.0,Southampton,Mrs
325, Not Survived,3,male,,8,2,69.55,Southampton,Mr
326,Survived,1,female,36.0,0,0,135.6333,Cherbourg,Miss
327, Not Survived,3,male,61.0,0,0,6.2375,Southampton,Mr
328,Survived,2,female,36.0,0,0,13.0,Southampton,Mrs
329,Survived,3,female,31.0,1,1,20.525,Southampton,Mrs
330,Survived,1,female,16.0,0,1,57.9792,Cherbourg,Miss
331,Survived,3,female,,2,0,23.25,Queenstown,Miss
332, Not Survived,1,male,45.5,0,0,28.5,Southampton,Mr
333, Not Survived,1,male,38.0,0,1,153.4625,Southampton,Mr
334, Not Survived,3,male,16.0,2,0,18.0,Southampton,Mr
335,Survived,1,female,,1,0,133.65,Southampton,Mrs
336, Not Survived,3,male,,0,0,7.8958,Southampton,Mr
337, Not Survived,1,male,29.0,1,0,66.6,Southampton,Mr
338,Survived,1,female,41.0,0,0,134.5,Cherbourg,Miss
339,Survived,3,male,45.0,0,0,8.05,Southampton,Mr
340, Not Survived,1,male,45.0,0,0,35.5,Southampton,Mr
341,Survived,2,male,2.0,1,1,26.0,Southampton,Master
342,Survived,1,female,24.0,3,2,263.0,Southampton,Miss
343, Not Survived,2,male,28.0,0,0,13.0,Southampton,Mr
344, Not Survived,2,male,25.0,0,0,13.0,Southampton,Mr
345, Not Survived,2,male,36.0,0,0,13.0,Southampton,Mr
346,Survived,2,female,24.0,0,0,13.0,Southampton,Miss
347,Survived,2,female,40.0,0,0,13.0,Southampton,Miss
348,Survived,3,female,,1,0,16.1,Southampton,Mrs
349,Survived,3,male,3.0,1,1,15.9,Southampton,Master
350, Not Survived,3,male,42.0,0,0,8.6625,Southampton,Mr
351, Not Survived,3,male,23.0,0,0,9.225,Southampton,Mr
352, Not Survived,1,male,,0,0,35.0,Southampton,Mr
353, Not Survived,3,male,15.0,1,1,7.2292,Cherbourg,Mr
354, Not Survived,3,male,25.0,1,0,17.8,Southampton,Mr
355, Not Survived,3,male,,0,0,7.225,Cherbourg,Mr
356, Not Survived,3,male,28.0,0,0,9.5,Southampton,Mr
357,Survived,1,female,22.0,0,1,55.0,Southampton,Miss
358, Not Survived,2,female,38.0,0,0,13.0,Southampton,Miss
359,Survived,3,female,,0,0,7.8792,Queenstown,Miss
360,Survived,3,female,,0,0,7.8792,Queenstown,Miss
361, Not Survived,3,male,40.0,1,4,27.9,Southampton,Mr
362, Not Survived,2,male,29.0,1,0,27.7208,Cherbourg,Mr
363, Not Survived,3,female,45.0,0,1,14.4542,Cherbourg,Mrs
364, Not Survived,3,male,35.0,0,0,7.05,Southampton,Mr
365, Not Survived,3,male,,1,0,15.5,Queenstown,Mr
366, Not Survived,3,male,30.0,0,0,7.25,Southampton,Mr
367,Survived,1,female,60.0,1,0,75.25,Cherbourg,Mrs
368,Survived,3,female,,0,0,7.2292,Cherbourg,Mrs
369,Survived,3,female,,0,0,7.75,Queenstown,Miss
370,Survived,1,female,24.0,0,0,69.3,Cherbourg,Mrs
371,Survived,1,male,25.0,1,0,55.4417,Cherbourg,Mr
372, Not Survived,3,male,18.0,1,0,6.4958,Southampton,Mr
373, Not Survived,3,male,19.0,0,0,8.05,Southampton,Mr
374, Not Survived,1,male,22.0,0,0,135.6333,Cherbourg,Mr
375, Not Survived,3,female,3.0,3,1,21.075,Southampton,Miss
376,Survived,1,female,,1,0,82.1708,Cherbourg,Mrs
377,Survived,3,female,22.0,0,0,7.25,Southampton,Miss
378, Not Survived,1,male,27.0,0,2,211.5,Cherbourg,Mr
379, Not Survived,3,male,20.0,0,0,4.0125,Cherbourg,Mr
380, Not Survived,3,male,19.0,0,0,7.775,Southampton,Mr
381,Survived,1,female,42.0,0,0,227.525,Cherbourg,Miss
382,Survived,3,female,1.0,0,2,15.7417,Cherbourg,Miss
383, Not Survived,3,male,32.0,0,0,7.925,Southampton,Mr
384,Survived,1,female,35.0,1,0,52.0,Southampton,Mrs
385, Not Survived,3,male,,0,0,7.8958,Southampton,Mr
386, Not Survived,2,male,18.0,0,0,73.5,Southampton,Mr
387, Not Survived,3,male,1.0,5,2,46.9,Southampton,Master
388,Survived,2,female,36.0,0,0,13.0,Southampton,Miss
389, Not Survived,3,male,,0,0,7.7292,Queenstown,Mr
390,Survived,2,female,17.0,0,0,12.0,Cherbourg,Miss
391,Survived,1,male,36.0,1,2,120.0,Southampton,Mr
392,Survived,3,male,21.0,0,0,7.7958,Southampton,Mr
393, Not Survived,3,male,28.0,2,0,7.925,Southampton,Mr
394,Survived,1,female,23.0,1,0,113.275,Cherbourg,Miss
395,Survived,3,female,24.0,0,2,16.7,Southampton,Mrs
396, Not Survived,3,male,22.0,0,0,7.7958,Southampton,Mr
397, Not Survived,3,female,31.0,0,0,7.8542,Southampton,Miss
398, Not Survived,2,male,46.0,0,0,26.0,Southampton,Mr
399, Not Survived,2,male,23.0,0,0,10.5,Southampton,Dr
400,Survived,2,female,28.0,0,0,12.65,Southampton,Mrs
401,Survived,3,male,39.0,0,0,7.925,Southampton,Mr
402, Not Survived,3,male,26.0,0,0,8.05,Southampton,Mr
403, Not Survived,3,female,21.0,1,0,9.825,Southampton,Miss
404, Not Survived,3,male,28.0,1,0,15.85,Southampton,Mr
405, Not Survived,3,female,20.0,0,0,8.6625,Southampton,Miss
406, Not Survived,2,male,34.0,1,0,21.0,Southampton,Mr
407, Not Survived,3,male,51.0,0,0,7.75,Southampton,Mr
408,Survived,2,male,3.0,1,1,18.75,Southampton,Master
409, Not Survived,3,male,21.0,0,0,7.775,Southampton,Mr
410, Not Survived,3,female,,3,1,25.4667,Southampton,Miss
411, Not Survived,3,male,,0,0,7.8958,Southampton,Mr
412, Not Survived,3,male,,0,0,6.8583,Queenstown,Mr
413,Survived,1,female,33.0,1,0,90.0,Queenstown,Miss
414, Not Survived,2,male,,0,0,0.0,Southampton,Mr
415,Survived,3,male,44.0,0,0,7.925,Southampton,Mr
416, Not Survived,3,female,,0,0,8.05,Southampton,Mrs
417,Survived,2,female,34.0,1,1,32.5,Southampton,Mrs
418,Survived,2,female,18.0,0,2,13.0,Southampton,Miss
419, Not Survived,2,male,30.0,0,0,13.0,Southampton,Mr
420, Not Survived,3,female,10.0,0,2,24.15,Southampton,Miss
421, Not Survived,3,male,,0,0,7.8958,Cherbourg,Mr
422, Not Survived,3,male,21.0,0,0,7.7333,Queenstown,Mr
423, Not Survived,3,male,29.0,0,0,7.875,Southampton,Mr
424, Not Survived,3,female,28.0,1,1,14.4,Southampton,Mrs
425, Not Survived,3,male,18.0,1,1,20.2125,Southampton,Mr
426, Not Survived,3,male,,0,0,7.25,Southampton,Mr
427,Survived,2,female,28.0,1,0,26.0,Southampton,Mrs
428,Survived,2,female,19.0,0,0,26.0,Southampton,Miss
